Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\Program.cs,12,0,"M:Microsoft.Extensions.DependencyInjection.IdentityServiceCollectionUIExtensions.AddDefaultIdentity``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,System.Action{Microsoft.AspNetCore.Identity.IdentityOptions})",,,,,builder.Services.AddDefaultIdentity<IdentityUser>(options => options.SignIn.RequireConfirmedAccount = true)      .AddEntityFrameworkStores<ApplicationDbContext>();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\Program.cs,12,0,T:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions,,,,,builder.Services.AddDefaultIdentity<IdentityUser>(options => options.SignIn.RequireConfirmedAccount = true)      .AddEntityFrameworkStores<ApplicationDbContext>();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\Program.cs,12,0,M:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions.AddEntityFrameworkStores``1(Microsoft.AspNetCore.Identity.IdentityBuilder),,,,,builder.Services.AddDefaultIdentity<IdentityUser>(options => options.SignIn.RequireConfirmedAccount = true)      .AddEntityFrameworkStores<ApplicationDbContext>();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\Program.cs,10,0,T:Microsoft.Extensions.DependencyInjection.DatabaseDeveloperPageExceptionFilterServiceExtensions,,,,,builder.Services.AddDatabaseDeveloperPageExceptionFilter();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\Program.cs,10,0,M:Microsoft.Extensions.DependencyInjection.DatabaseDeveloperPageExceptionFilterServiceExtensions.AddDatabaseDeveloperPageExceptionFilter(Microsoft.Extensions.DependencyInjection.IServiceCollection),,,,,builder.Services.AddDatabaseDeveloperPageExceptionFilter();
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Chapter20\A_DefaultWebApiProject\DefaultWebApiProject\DefaultWebApiProject.csproj,File,Chapter20\A_DefaultWebApiProject\DefaultWebApiProject\DefaultWebApiProject.csproj,,,Microsoft.AspNetCore.OpenApi 7.0.0,,,,,"Microsoft.AspNetCore.OpenApi, 7.0.0  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Chapter20\A_DefaultWebApiProject\DefaultWebApiProject\DefaultWebApiProject.csproj,File,Chapter20\A_DefaultWebApiProject\DefaultWebApiProject\DefaultWebApiProject.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Chapter10\B_DesigningForAutomaticBinding\DesigningForAutomaticBinding\DesigningForAutomaticBinding.csproj,File,Chapter10\B_DesigningForAutomaticBinding\DesigningForAutomaticBinding\DesigningForAutomaticBinding.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Chapter10\B_DesigningForAutomaticBinding\DesigningForAutomaticBinding\DesigningForAutomaticBinding.csproj,File,Chapter10\B_DesigningForAutomaticBinding\DesigningForAutomaticBinding\Program.cs,7,0,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,builder.Services.Configure<UnbindableOptions>(section);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Chapter10\B_DesigningForAutomaticBinding\DesigningForAutomaticBinding\DesigningForAutomaticBinding.csproj,File,Chapter10\B_DesigningForAutomaticBinding\DesigningForAutomaticBinding\Program.cs,6,0,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,builder.Services.Configure<BindableOptions>(section);
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Chapter04\E_DeveloperExceptionPage\DeveloperExceptionPage\DeveloperExceptionPage.csproj,File,Chapter04\E_DeveloperExceptionPage\DeveloperExceptionPage\DeveloperExceptionPage.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Chapter17\B_DyamicHtml\DyamicHtml\DyamicHtml.csproj,File,Chapter17\B_DyamicHtml\DyamicHtml\DyamicHtml.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Chapter17\B_DyamicHtml\DyamicHtml\DyamicHtml.csproj,File,Chapter17\B_DyamicHtml\DyamicHtml\Program.cs,10,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Chapter18\D_EnvironmentTag\EnvironmentTag\EnvironmentTag.csproj,File,Chapter18\D_EnvironmentTag\EnvironmentTag\EnvironmentTag.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Chapter18\D_EnvironmentTag\EnvironmentTag\EnvironmentTag.csproj,File,Chapter18\D_EnvironmentTag\EnvironmentTag\Program.cs,10,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Chapter16\B_ExampleBinding_EditProduct\ExampleBinding\ExampleBinding.csproj,File,Chapter16\B_ExampleBinding_EditProduct\ExampleBinding\ExampleBinding.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Chapter16\B_ExampleBinding_EditProduct\ExampleBinding\ExampleBinding.csproj,File,Chapter16\B_ExampleBinding_EditProduct\ExampleBinding\Program.cs,10,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Chapter16\C_ExampleBinding_Calculator\ExampleCalculatorBinding\ExampleCalculatorBinding.csproj,File,Chapter16\C_ExampleBinding_Calculator\ExampleCalculatorBinding\ExampleCalculatorBinding.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Chapter16\C_ExampleBinding_Calculator\ExampleCalculatorBinding\ExampleCalculatorBinding.csproj,File,Chapter16\C_ExampleBinding_Calculator\ExampleCalculatorBinding\Program.cs,10,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Chapter04\F_ExceptionHandlerMidleware\ExceptionHandlerMidleware\ExceptionHandlerMidleware.csproj,File,Chapter04\F_ExceptionHandlerMidleware\ExceptionHandlerMidleware\ExceptionHandlerMidleware.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Chapter04\F_ExceptionHandlerMidleware\ExceptionHandlerMidleware\ExceptionHandlerMidleware.csproj,File,Chapter04\F_ExceptionHandlerMidleware\ExceptionHandlerMidleware\Program.cs,10,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/error"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Chapter04\F_ExceptionHandlerMidleware\ExceptionHandlerMidleware\ExceptionHandlerMidleware.csproj,File,Chapter04\F_ExceptionHandlerMidleware\ExceptionHandlerMidleware\Program.cs,3,0,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/error"");"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Chapter36\A_ExchangeRatesWeb\src\ExchangeRates.Web\ExchangeRates.Web.csproj,File,Chapter36\A_ExchangeRatesWeb\src\ExchangeRates.Web\ExchangeRates.Web.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Chapter36\A_ExchangeRatesWeb\src\ExchangeRates.Web\ExchangeRates.Web.csproj,File,Chapter36\A_ExchangeRatesWeb\src\ExchangeRates.Web\Program.cs,18,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Chapter35\A_ExchangeRatesWeb\src\ExchangeRates.Web\ExchangeRates.Web.csproj,File,Chapter35\A_ExchangeRatesWeb\src\ExchangeRates.Web\ExchangeRates.Web.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Chapter35\A_ExchangeRatesWeb\src\ExchangeRates.Web\ExchangeRates.Web.csproj,File,Chapter35\A_ExchangeRatesWeb\src\ExchangeRates.Web\Program.cs,18,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Chapter36\A_ExchangeRatesWeb\test\ExchangeRates.Web.Tests\ExchangeRates.Web.Tests.csproj,File,Chapter36\A_ExchangeRatesWeb\test\ExchangeRates.Web.Tests\ExchangeRates.Web.Tests.csproj,,,Microsoft.AspNetCore.Mvc.Testing 7.0.0,,,,,"Microsoft.AspNetCore.Mvc.Testing, 7.0.0  Recommendation:  Remove Microsoft.AspNetCore.Mvc.Testing, and replace with new package Microsoft.AspNetCore.Mvc.Testing 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Chapter36\A_ExchangeRatesWeb\test\ExchangeRates.Web.Tests\ExchangeRates.Web.Tests.csproj,File,Chapter36\A_ExchangeRatesWeb\test\ExchangeRates.Web.Tests\ExchangeRates.Web.Tests.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
